Transactionid,EMI Amt. (Rs.),Date,LID,Applicant Name,Repayment Type,AMOUNT RECEIVED,CF Amount,AMOUNT TO BE CF,Total Amount Due,STATUS,REMARKS
LOAN0239144323,879,2021-06-16,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0242944323,879,2021-06-16,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0245944323,1004,2021-06-16,#REF!,#REF!,#REF!,"1,004",,0.00,1004,RECEIVED,
LOAN0246344323,524,2021-06-16,#REF!,#REF!,#REF!,524,,0.00,524,RECEIVED,
LOAN0246644323,879,2021-06-16,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0246744323,1004,2021-06-16,#REF!,#REF!,#REF!,"1,004",,0.00,1004,RECEIVED,
LOAN0246844323,879,2021-06-16,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0247044323,703,2021-06-16,#REF!,#REF!,#REF!,703,,0.00,703,RECEIVED,
LOAN0246544326,883,2021-06-16,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0248344326,610,2021-06-16,#REF!,#REF!,#REF!,610,,0.00,610,RECEIVED,
LOAN0248644326,762,2021-06-16,#REF!,#REF!,#REF!,762,,0.00,762,RECEIVED,
LOAN0249044326,762,2021-06-16,#REF!,#REF!,#REF!,762,,0.00,762,RECEIVED,
LOAN0246144326,736,2021-06-16,#REF!,#REF!,#REF!,736,,0.00,736,RECEIVED,
LOAN0246444326,883,2021-06-16,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0220644326,654,2021-06-16,#REF!,#REF!,#REF!,654,1308,"1,308.00",1962,PARTIALLY RECIEVED,C/F NEXT WEEK
LOAN0244344326,1008,2021-06-16,#REF!,#REF!,#REF!,"1,008",,0.00,1008,RECEIVED,
LOAN0248044327,882,2021-06-16,#REF!,#REF!,#REF!,882,882,882.00,1764,PARTIALLY RECIEVED,C/F NEXT WEEK
LOAN0249144327,525,2021-06-16,#REF!,#REF!,#REF!,525,525,525.00,1050,PARTIALLY RECIEVED,C/F NEXT WEEK
LOAN0249444327,762,2021-06-16,#REF!,#REF!,#REF!,762,,0.00,762,RECEIVED,
LOAN0245744326,883,2021-06-16,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0248144326,1008,2021-06-16,#REF!,#REF!,#REF!,"1,008",,0.00,1008,RECEIVED,
LOAN0246244326,526,2021-06-16,#REF!,#REF!,#REF!,526,,0.00,526,RECEIVED,
LOAN0248744327,525,2021-06-16,#REF!,#REF!,#REF!,525,,0.00,525,RECEIVED,
LOAN0248844327,1007,2021-06-16,#REF!,#REF!,#REF!,0,2014,"3,021.00",3021,DELAYED,C/F NEXT WEEK
LOAN0249244327,706,2021-06-16,#REF!,#REF!,#REF!,706,,0.00,706,RECEIVED,
LOAN0248944327,706,2021-06-16,#REF!,#REF!,#REF!,706,,0.00,706,RECEIVED,
LOAN0249744328,805,2021-06-16,#REF!,#REF!,#REF!,805,,0.00,805,RECEIVED,
LOAN0248444328,761,2021-06-16,#REF!,#REF!,#REF!,761,,0.00,761,RECEIVED,
LOAN0249944328,705,2021-06-16,#REF!,#REF!,#REF!,705,,0.00,705,RECEIVED,
LOAN0249344328,805,2021-06-16,#REF!,#REF!,#REF!,805,,0.00,805,RECEIVED,
LOAN0250044330,759,2021-06-16,#REF!,#REF!,#REF!,759,,0.00,759,RECEIVED,
LOAN0250144330,879,2021-06-16,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0250344330,803,2021-06-16,#REF!,#REF!,#REF!,803,,0.00,803,RECEIVED,
LOAN0250744330,803,2021-06-16,#REF!,#REF!,#REF!,803,,0.00,803,RECEIVED,
LOAN0250844330,703,2021-06-16,#REF!,#REF!,#REF!,703,,0.00,703,RECEIVED,
LOAN0251044330,815,2021-06-16,#REF!,#REF!,#REF!,815,,0.00,815,RECEIVED,
LOAN0250444331,615,2021-06-16,#REF!,#REF!,#REF!,615,,0.00,615,RECEIVED,
LOAN0250544331,758,2021-06-16,#REF!,#REF!,#REF!,758,,0.00,758,RECEIVED,
LOAN0251144331,758,2021-06-16,#REF!,#REF!,#REF!,758,,0.00,758,RECEIVED,
LOAN0249644330,759,2021-06-16,#REF!,#REF!,#REF!,759,,0.00,759,RECEIVED,
LOAN0250944330,879,2021-06-16,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0241444330,879,2021-06-16,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0250244331,802,2021-06-16,#REF!,#REF!,#REF!,0,802,"1,604.00",1604,DELAYED,C/F NEXT WEEK
LOAN0251444334,1090,2021-06-16,#REF!,#REF!,#REF!,"1,090",,0.00,1090,RECEIVED,
LOAN0251544334,902,2021-06-16,#REF!,#REF!,#REF!,902,,0.00,902,RECEIVED,
LOAN0225344334,685,2021-06-16,#REF!,#REF!,#REF!,685,,0.00,685,RECEIVED,
LOAN0251644334,671,2021-06-16,#REF!,#REF!,#REF!,671,,0.00,671,RECEIVED,
LOAN0243444337,759,2021-06-16,#REF!,#REF!,#REF!,759,,0.00,759,RECEIVED,
LOAN0247144337,759,2021-06-16,#REF!,#REF!,#REF!,759,,0.00,759,RECEIVED,
LOAN0251944337,607,2021-06-16,#REF!,#REF!,#REF!,607,,0.00,607,RECEIVED,
LOAN0252144337,803,2021-06-16,#REF!,#REF!,#REF!,803,,0.00,803,RECEIVED,
LOAN0252344337,1086,2021-06-16,#REF!,#REF!,#REF!,"1,086",,0.00,1086,RECEIVED,
LOAN0252744337,1086,2021-06-16,#REF!,#REF!,#REF!,"1,086",,0.00,1086,RECEIVED,
LOAN0252844337,669,2021-06-16,#REF!,#REF!,#REF!,669,,0.00,669,RECEIVED,
LOAN0252544337,607,2021-06-16,#REF!,#REF!,#REF!,607,,0.00,607,RECEIVED,
LOAN0252944337,911,2021-06-16,#REF!,#REF!,#REF!,911,,0.00,911,RECEIVED,
LOAN0253044337,759,2021-06-16,#REF!,#REF!,#REF!,759,,0.00,759,RECEIVED,
LOAN0253144337,911,2021-06-16,#REF!,#REF!,#REF!,911,,0.00,911,RECEIVED,
LOAN0253244337,683,2021-06-16,#REF!,#REF!,#REF!,683,,0.00,683,RECEIVED,
LOAN0253444338,802,2021-06-16,#REF!,#REF!,#REF!,802,,0.00,802,RECEIVED,
LOAN0251744338,758,2021-06-16,#REF!,#REF!,#REF!,758,,0.00,758,RECEIVED,
LOAN0254044338,683,2021-06-16,#REF!,#REF!,#REF!,683,,0.00,683,RECEIVED,
LOAN0254344338,531,2021-06-16,#REF!,#REF!,#REF!,531,,0.00,531,RECEIVED,
LOAN0253344338,668,2021-06-16,#REF!,#REF!,#REF!,668,,0.00,668,RECEIVED,
LOAN0253544340,903,2021-06-16,#REF!,#REF!,#REF!,903,,0.00,903,RECEIVED,
LOAN0253744340,442,2021-06-16,#REF!,#REF!,#REF!,442,,0.00,442,RECEIVED,
LOAN0237544340,881,2021-06-16,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0254944341,940,2021-06-16,#REF!,#REF!,#REF!,940,,0.00,940,RECEIVED,
LOAN0255044341,806,2021-06-16,#REF!,#REF!,#REF!,806,,0.00,806,RECEIVED,
LOAN0255444341,609,2021-06-16,#REF!,#REF!,#REF!,609,,0.00,609,RECEIVED,
LOAN0255644341,441,2021-06-16,#REF!,#REF!,#REF!,441,,0.00,441,RECEIVED,
LOAN0256144341,671,2021-06-16,#REF!,#REF!,#REF!,0,,671.00,671,DELAYED,C/F NEXT WEEK
LOAN0252044340,610,2021-06-16,#REF!,#REF!,#REF!,0,610,"1,220.00",1220,DELAYED,C/F NEXT WEEK
LOAN0254844342,805,2021-06-16,#REF!,#REF!,#REF!,805,,0.00,805,RECEIVED,
LOAN0256344342,441,2021-06-16,#REF!,#REF!,#REF!,441,,0.00,441,RECEIVED,
LOAN0256744342,1089,2021-06-16,#REF!,#REF!,#REF!,"1,089",,0.00,1089,RECEIVED,
LOAN0256844342,441,2021-06-16,#REF!,#REF!,#REF!,441,,0.00,441,RECEIVED,
LOAN0256444343,440,2021-06-16,#REF!,#REF!,#REF!,440,440,440.00,880,PARTIALLY RECIEVED,C/F NEXT WEEK
LOAN0256944343,670,2021-06-16,#REF!,#REF!,#REF!,670,,0.00,670,RECEIVED,
LOAN0257444343,456,2021-06-16,#REF!,#REF!,#REF!,456,,0.00,456,RECEIVED,
LOAN0252244343,804,2021-06-16,#REF!,#REF!,#REF!,804,,0.00,804,RECEIVED,
LOAN0253644344,440,2021-06-16,#REF!,#REF!,#REF!,440,,0.00,440,RECEIVED,
LOAN0254244344,669,2021-06-16,#REF!,#REF!,#REF!,669,,0.00,669,RECEIVED,
LOAN0255144344,803,2021-06-16,#REF!,#REF!,#REF!,803,,0.00,803,RECEIVED,
LOAN0257544344,759,2021-06-16,#REF!,#REF!,#REF!,759,,0.00,759,RECEIVED,
LOAN0256544344,669,2021-06-16,#REF!,#REF!,#REF!,669,,0.00,669,RECEIVED,
LOAN0257044344,1004,2021-06-16,#REF!,#REF!,#REF!,"2,008",,"-1,004.00",1004,EARLY PAYMENT,C/F Excess Amount of 1004 to next week
LOAN0255844345,668,2021-06-16,#REF!,#REF!,#REF!,668,,0.00,668,RECEIVED,
LOAN0257644345,1085,2021-06-16,#REF!,#REF!,#REF!,"1,085",,0.00,1085,RECEIVED,
LOAN0257944345,531,2021-06-16,#REF!,#REF!,#REF!,531,,0.00,531,RECEIVED,
LOAN0258044345,758,2021-06-16,#REF!,#REF!,#REF!,758,,0.00,758,RECEIVED,
LOAN0258444345,758,2021-06-16,#REF!,#REF!,#REF!,758,,0.00,758,RECEIVED,
LOAN0254544347,908,2021-06-16,#REF!,#REF!,#REF!,908,,0.00,908,RECEIVED,
LOAN0258644347,667,2021-06-16,#REF!,#REF!,#REF!,667,,0.00,667,RECEIVED,
LOAN0255944348,671,2021-06-16,#REF!,#REF!,#REF!,671,,0.00,671,RECEIVED,
LOAN0255744348,806,2021-06-16,#REF!,#REF!,#REF!,806,,0.00,806,RECEIVED,
LOAN0258244347,908,2021-06-16,#REF!,#REF!,#REF!,908,,0.00,908,RECEIVED,
LOAN0257344347,530,2021-06-16,#REF!,#REF!,#REF!,530,,0.00,530,RECEIVED,
LOAN0258844349,761,2021-06-16,#REF!,#REF!,#REF!,761,,0.00,761,RECEIVED,
LOAN0258544348,671,2021-06-16,#REF!,#REF!,#REF!,671,,0.00,671,RECEIVED,
LOAN0258944349,380,2021-06-16,#REF!,#REF!,#REF!,380,,0.00,380,RECEIVED,
LOAN0259344350,616,2021-06-16,#REF!,#REF!,#REF!,616,,0.00,616,RECEIVED,
LOAN0259444351,803,2021-06-16,#REF!,#REF!,#REF!,"1,606",,-803.00,803,EARLY PAYMENT,C/F Excess Amount of 803 to next week
LOAN0259944351,759,2021-06-16,#REF!,#REF!,#REF!,759,,0.00,759,RECEIVED,
LOAN0260844352,615,2021-06-16,#REF!,#REF!,#REF!,615,,0.00,615,RECEIVED,
LOAN0259844351,455,2021-06-16,#REF!,#REF!,#REF!,455,,0.00,455,RECEIVED,
LOAN0260044351,803,2021-06-16,#REF!,#REF!,#REF!,803,,0.00,803,RECEIVED,
LOAN0260444352,802,2021-06-16,#REF!,#REF!,#REF!,802,,0.00,802,RECEIVED,
LOAN0236644328,884,2021-06-19,#REF!,#REF!,#REF!,884,,0.00,884,RECEIVED,
LOAN0228644306,1090,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1090,,
LOAN0229144310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0229244310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0229344310,299,2021-06-23,#REF!,#REF!,#REF!,,1196,0.00,1495,,
LOAN0229444310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0230244310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0230644310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0230744310,299,2021-06-23,#REF!,#REF!,#REF!,,,0.00,299,,
LOAN0230844310,299,2021-06-23,#REF!,#REF!,#REF!,,,0.00,299,,
LOAN0231144310,299,2021-06-23,#REF!,#REF!,#REF!,,,0.00,299,,
LOAN0231344310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0231444310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0231744310,299,2021-06-23,#REF!,#REF!,#REF!,,,0.00,299,,
LOAN0231844310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0232044310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0232644310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0232744310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0233044310,299,2021-06-23,#REF!,#REF!,#REF!,,,0.00,299,,
LOAN0233144310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0234044310,299,2021-06-23,#REF!,#REF!,#REF!,,,0.00,299,,
LOAN0234344310,299,2021-06-23,#REF!,#REF!,#REF!,,,0.00,299,,
LOAN0235144310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0235344310,419,2021-06-23,#REF!,#REF!,#REF!,,,0.00,419,,
LOAN0234144310,299,2021-06-23,#REF!,#REF!,#REF!,,,0.00,299,,
LOAN0229044313,421,2021-06-23,#REF!,#REF!,#REF!,,,0.00,421,,
LOAN0235244313,301,2021-06-23,#REF!,#REF!,#REF!,,602,0.00,903,,
LOAN0234844313,421,2021-06-23,#REF!,#REF!,#REF!,,421,0.00,842,,
LOAN0234944313,301,2021-06-23,#REF!,#REF!,#REF!,,,0.00,301,,
LOAN0235644314,881,2021-06-23,#REF!,#REF!,#REF!,,881,0.00,1762,,
LOAN0235744314,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0236344314,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0237844314,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0238544314,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0238944314,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0239644314,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0239744314,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0240144314,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0236044314,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0236744314,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0236944314,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0232344313,301,2021-06-23,#REF!,#REF!,#REF!,,,0.00,301,,
LOAN0237444314,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0237644316,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0239944316,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0240044316,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0240244316,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0237344316,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0231044316,615,2021-06-23,#REF!,#REF!,#REF!,,,0.00,615,,
LOAN0241944316,879,2021-06-23,#REF!,#REF!,#REF!,,879,0.00,1758,,
LOAN0237744319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0238044319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0238344319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0237144319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0234744319,421,2021-06-23,#REF!,#REF!,#REF!,,,0.00,421,,
LOAN0241244319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0241544319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0241744319,582,2021-06-23,#REF!,#REF!,#REF!,,582,0.00,1164,,
LOAN0242244319,883,2021-06-23,#REF!,#REF!,#REF!,,883,0.00,1766,,
LOAN0244844320,1007,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1007,,
LOAN0245144320,1007,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1007,,
LOAN0245644320,1007,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1007,,
LOAN0239444319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0240444319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0240544319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0238744319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0233444319,526,2021-06-23,#REF!,#REF!,#REF!,,526,0.00,1052,,
LOAN0240844319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0242444319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0242544319,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0233244319,421,2021-06-23,#REF!,#REF!,#REF!,,,0.00,421,,
LOAN0244144320,931,2021-06-23,#REF!,#REF!,#REF!,,,0.00,931,,
LOAN0244544320,582,2021-06-23,#REF!,#REF!,#REF!,,,0.00,582,,
LOAN0236544322,880,2021-06-23,#REF!,#REF!,#REF!,,,0.00,880,,
LOAN0238244322,880,2021-06-23,#REF!,#REF!,#REF!,,,0.00,880,,
LOAN0242844322,880,2021-06-23,#REF!,#REF!,#REF!,,,0.00,880,,
LOAN0241144322,880,2021-06-23,#REF!,#REF!,#REF!,,,0.00,880,,
LOAN0241844322,580,2021-06-23,#REF!,#REF!,#REF!,,580,0.00,1160,,
LOAN0242044322,616,2021-06-23,#REF!,#REF!,#REF!,,2464,0.00,3080,,
LOAN0242644322,880,2021-06-23,#REF!,#REF!,#REF!,,,0.00,880,,
LOAN0242744322,880,2021-06-23,#REF!,#REF!,#REF!,,,0.00,880,,
LOAN0243644322,580,2021-06-23,#REF!,#REF!,#REF!,,1160,0.00,1740,,
LOAN0244044322,580,2021-06-23,#REF!,#REF!,#REF!,,1740,0.00,2320,,
LOAN0244244322,880,2021-06-23,#REF!,#REF!,#REF!,,,0.00,880,,
LOAN0244444322,880,2021-06-23,#REF!,#REF!,#REF!,,,0.00,880,,
LOAN0245344322,580,2021-06-23,#REF!,#REF!,#REF!,,,0.00,580,,
LOAN0247644322,880,2021-06-23,#REF!,#REF!,#REF!,,,0.00,880,,
LOAN0247744322,880,2021-06-23,#REF!,#REF!,#REF!,,,0.00,880,,
LOAN0245844322,880,2021-06-23,#REF!,#REF!,#REF!,,,0.00,880,,
LOAN0246944322,880,2021-06-23,#REF!,#REF!,#REF!,,1760,0.00,2640,,
LOAN0247344322,880,2021-06-23,#REF!,#REF!,#REF!,,,0.00,880,,
LOAN0235944323,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0239144323,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0242944323,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0245944323,1004,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1004,,
LOAN0246344323,524,2021-06-23,#REF!,#REF!,#REF!,,,0.00,524,,
LOAN0246644323,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0246744323,1004,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1004,,
LOAN0246844323,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0247044323,703,2021-06-23,#REF!,#REF!,#REF!,,,0.00,703,,
LOAN0246544326,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0248344326,610,2021-06-23,#REF!,#REF!,#REF!,,,0.00,610,,
LOAN0248644326,762,2021-06-23,#REF!,#REF!,#REF!,,,0.00,762,,
LOAN0249044326,762,2021-06-23,#REF!,#REF!,#REF!,,,0.00,762,,
LOAN0246144326,736,2021-06-23,#REF!,#REF!,#REF!,,,0.00,736,,
LOAN0246444326,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0220644326,654,2021-06-23,#REF!,#REF!,#REF!,,1308,0.00,1962,,
LOAN0244344326,1008,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1008,,
LOAN0248044327,882,2021-06-23,#REF!,#REF!,#REF!,,882,0.00,1764,,
LOAN0249144327,525,2021-06-23,#REF!,#REF!,#REF!,,525,0.00,1050,,
LOAN0249444327,762,2021-06-23,#REF!,#REF!,#REF!,,,0.00,762,,
LOAN0245744326,883,2021-06-23,#REF!,#REF!,#REF!,,,0.00,883,,
LOAN0248144326,1008,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1008,,
LOAN0246244326,526,2021-06-23,#REF!,#REF!,#REF!,,,0.00,526,,
LOAN0248744327,525,2021-06-23,#REF!,#REF!,#REF!,,,0.00,525,,
LOAN0248844327,1007,2021-06-23,#REF!,#REF!,#REF!,,3021,0.00,4028,,
LOAN0249244327,706,2021-06-23,#REF!,#REF!,#REF!,,,0.00,706,,
LOAN0248944327,706,2021-06-23,#REF!,#REF!,#REF!,,,0.00,706,,
LOAN0249744328,805,2021-06-23,#REF!,#REF!,#REF!,,,0.00,805,,
LOAN0248444328,761,2021-06-23,#REF!,#REF!,#REF!,,,0.00,761,,
LOAN0249944328,705,2021-06-23,#REF!,#REF!,#REF!,,,0.00,705,,
LOAN0249344328,805,2021-06-23,#REF!,#REF!,#REF!,,,0.00,805,,
LOAN0250044330,759,2021-06-23,#REF!,#REF!,#REF!,,,0.00,759,,
LOAN0250144330,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0250344330,803,2021-06-23,#REF!,#REF!,#REF!,,,0.00,803,,
LOAN0250744330,803,2021-06-23,#REF!,#REF!,#REF!,,,0.00,803,,
LOAN0250844330,703,2021-06-23,#REF!,#REF!,#REF!,,,0.00,703,,
LOAN0251044330,815,2021-06-23,#REF!,#REF!,#REF!,,,0.00,815,,
LOAN0250444331,615,2021-06-23,#REF!,#REF!,#REF!,,,0.00,615,,
LOAN0250544331,758,2021-06-23,#REF!,#REF!,#REF!,,,0.00,758,,
LOAN0251144331,758,2021-06-23,#REF!,#REF!,#REF!,,,0.00,758,,
LOAN0249644330,759,2021-06-23,#REF!,#REF!,#REF!,,,0.00,759,,
LOAN0250944330,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0241444330,879,2021-06-23,#REF!,#REF!,#REF!,,,0.00,879,,
LOAN0250244331,802,2021-06-23,#REF!,#REF!,#REF!,,1604,0.00,2406,,
LOAN0251444334,1090,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1090,,
LOAN0251544334,902,2021-06-23,#REF!,#REF!,#REF!,,,0.00,902,,
LOAN0225344334,685,2021-06-23,#REF!,#REF!,#REF!,,,0.00,685,,
LOAN0251644334,671,2021-06-23,#REF!,#REF!,#REF!,,,0.00,671,,
LOAN0243444337,759,2021-06-23,#REF!,#REF!,#REF!,,,0.00,759,,
LOAN0247144337,759,2021-06-23,#REF!,#REF!,#REF!,,,0.00,759,,
LOAN0251944337,607,2021-06-23,#REF!,#REF!,#REF!,,,0.00,607,,
LOAN0252144337,803,2021-06-23,#REF!,#REF!,#REF!,,,0.00,803,,
LOAN0252344337,1086,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1086,,
LOAN0252744337,1086,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1086,,
LOAN0252844337,669,2021-06-23,#REF!,#REF!,#REF!,,,0.00,669,,
LOAN0252544337,607,2021-06-23,#REF!,#REF!,#REF!,,,0.00,607,,
LOAN0252944337,911,2021-06-23,#REF!,#REF!,#REF!,,,0.00,911,,
LOAN0253044337,759,2021-06-23,#REF!,#REF!,#REF!,,,0.00,759,,
LOAN0253144337,911,2021-06-23,#REF!,#REF!,#REF!,,,0.00,911,,
LOAN0253244337,683,2021-06-23,#REF!,#REF!,#REF!,,,0.00,683,,
LOAN0253444338,802,2021-06-23,#REF!,#REF!,#REF!,,,0.00,802,,
LOAN0251744338,758,2021-06-23,#REF!,#REF!,#REF!,,,0.00,758,,
LOAN0254044338,683,2021-06-23,#REF!,#REF!,#REF!,,,0.00,683,,
LOAN0254344338,531,2021-06-23,#REF!,#REF!,#REF!,,,0.00,531,,
LOAN0253344338,668,2021-06-23,#REF!,#REF!,#REF!,,,0.00,668,,
LOAN0253544340,903,2021-06-23,#REF!,#REF!,#REF!,,,0.00,903,,
LOAN0253744340,442,2021-06-23,#REF!,#REF!,#REF!,,,0.00,442,,
LOAN0237544340,881,2021-06-23,#REF!,#REF!,#REF!,,,0.00,881,,
LOAN0254944341,940,2021-06-23,#REF!,#REF!,#REF!,,,0.00,940,,
LOAN0255044341,806,2021-06-23,#REF!,#REF!,#REF!,,,0.00,806,,
LOAN0255444341,609,2021-06-23,#REF!,#REF!,#REF!,,,0.00,609,,
LOAN0255644341,441,2021-06-23,#REF!,#REF!,#REF!,,,0.00,441,,
LOAN0256144341,671,2021-06-23,#REF!,#REF!,#REF!,,671,0.00,1342,,
LOAN0252044340,610,2021-06-23,#REF!,#REF!,#REF!,,1220,0.00,1830,,
LOAN0254844342,805,2021-06-23,#REF!,#REF!,#REF!,,,0.00,805,,
LOAN0256344342,441,2021-06-23,#REF!,#REF!,#REF!,,,0.00,441,,
LOAN0256744342,1089,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1089,,
LOAN0256844342,441,2021-06-23,#REF!,#REF!,#REF!,,,0.00,441,,
LOAN0256444343,440,2021-06-23,#REF!,#REF!,#REF!,,440,0.00,880,,
LOAN0256944343,670,2021-06-23,#REF!,#REF!,#REF!,,,0.00,670,,
LOAN0257444343,456,2021-06-23,#REF!,#REF!,#REF!,,,0.00,456,,
LOAN0252244343,804,2021-06-23,#REF!,#REF!,#REF!,,,0.00,804,,
LOAN0253644344,440,2021-06-23,#REF!,#REF!,#REF!,,,0.00,440,,
LOAN0254244344,669,2021-06-23,#REF!,#REF!,#REF!,,,0.00,669,,
LOAN0255144344,803,2021-06-23,#REF!,#REF!,#REF!,,,0.00,803,,
LOAN0257544344,759,2021-06-23,#REF!,#REF!,#REF!,,,0.00,759,,
LOAN0256544344,669,2021-06-23,#REF!,#REF!,#REF!,,,0.00,669,,
LOAN0257044344,1004,2021-06-23,#REF!,#REF!,#REF!,,-1004,0.00,0,,
LOAN0255844345,668,2021-06-23,#REF!,#REF!,#REF!,,,0.00,668,,
LOAN0257644345,1085,2021-06-23,#REF!,#REF!,#REF!,,,0.00,1085,,
LOAN0257944345,531,2021-06-23,#REF!,#REF!,#REF!,,,0.00,531,,
LOAN0258044345,758,2021-06-23,#REF!,#REF!,#REF!,,,0.00,758,,
LOAN0258444345,758,2021-06-23,#REF!,#REF!,#REF!,,,0.00,758,,
LOAN0254544347,908,2021-06-23,#REF!,#REF!,#REF!,,,0.00,908,,
LOAN0258644347,667,2021-06-23,#REF!,#REF!,#REF!,,,0.00,667,,
LOAN0255944348,671,2021-06-23,#REF!,#REF!,#REF!,,,0.00,671,,
LOAN0255744348,806,2021-06-23,#REF!,#REF!,#REF!,,,0.00,806,,
LOAN0258244347,908,2021-06-23,#REF!,#REF!,#REF!,,,0.00,908,,
LOAN0257344347,530,2021-06-23,#REF!,#REF!,#REF!,,,0.00,530,,
